[DEBUG | 2017-12-07 23:48:14,126] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-07 23:48:16,136] vote for self 
[DEBUG | 2017-12-07 23:48:18,438] vote for self 
[DEBUG | 2017-12-07 23:48:18,929] vote for self 
[DEBUG | 2017-12-07 23:48:19,369] vote for self 
[DEBUG | 2017-12-07 23:48:19,916] vote for self 
[DEBUG | 2017-12-07 23:48:20,483] vote for self 
[DEBUG | 2017-12-07 23:48:20,936] vote for self 
[DEBUG | 2017-12-07 23:48:21,234] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:48:21,235] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:48:21,236] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:48:21,237] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-07 23:48:21,240] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:48:21,240] accept :127.0.0.1 48454
[DEBUG | 2017-12-07 23:48:21,412] vote for self 
[DEBUG | 2017-12-07 23:48:21,413] vote for 127.0.0.1 9000
[DEBUG | 2017-12-07 23:48:21,413] recv a vote for me
[DEBUG | 2017-12-07 23:48:21,416] ACK to Follower
[DEBUG | 2017-12-07 23:48:21,423] recv a vote for me
[DEBUG | 2017-12-07 23:54:36,162] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:54:36,163] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:54:36,163] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:54:36,164] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-07 23:54:38,174] vote for self 
[DEBUG | 2017-12-07 23:54:40,151] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:54:40,152] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:54:40,153] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:54:40,154] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-07 23:54:40,157] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:54:40,157] accept :127.0.0.1 48462
[DEBUG | 2017-12-07 23:54:42,166] vote for self 
[DEBUG | 2017-12-07 23:54:42,167] vote for 127.0.0.1 9001
[DEBUG | 2017-12-07 23:54:42,168] recv a vote for me
[DEBUG | 2017-12-07 23:54:42,172] ACK to Follower
[DEBUG | 2017-12-07 23:54:42,178] recv a vote for me
