[INFO | 2017-12-23 16:06:23,717] kill all the clild now
[INFO | 2017-12-23 16:06:24,054] kill all the clild now
[INFO | 2017-12-23 16:06:24,276] kill all the clild now
[INFO | 2017-12-23 16:06:24,501] kill all the clild now
[INFO | 2017-12-23 16:06:24,667] kill all the clild now
[INFO | 2017-12-23 16:06:29,074] child close 0
[INFO | 2017-12-23 16:06:35,927] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 16:06:35,926] localhost 9000 is survived
[INFO | 2017-12-23 16:06:52,930] 客服端正常退出 fd=17
[INFO | 2017-12-23 16:06:52,941] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 16:07:15,720] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:07:20,145] 客服端正常退出 fd=18
[INFO | 2017-12-23 16:07:20,152] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 16:07:26,463] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:10:19,077] kill all the clild now
[INFO | 2017-12-23 16:10:19,301] child close 0
[INFO | 2017-12-23 16:10:19,313] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 16:10:22,034] kill all the clild now
[INFO | 2017-12-23 16:10:58,740] child close 0
[INFO | 2017-12-23 16:20:58,294] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 16:20:58,691] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 16:20:58,717] become a Leader
[INFO | 2017-12-23 16:21:15,495] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 16:21:15,739] 发送失败
[INFO | 2017-12-23 16:21:23,767] kill all the clild now
[INFO | 2017-12-23 16:21:24,076] child close 0
[INFO | 2017-12-23 16:26:02,319] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:28:39,902] kill all the clild now
[INFO | 2017-12-23 16:29:28,450] child close 0
[INFO | 2017-12-23 16:53:10,735] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 16:53:11,261] become a Leader
[INFO | 2017-12-23 16:53:11,262] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 16:53:28,625] 客服端正常退出 fd=18
[INFO | 2017-12-23 16:53:28,640] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 16:53:41,684] 客服端正常退出 fd=19
[INFO | 2017-12-23 16:53:41,698] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 16:53:49,856] 客服端正常退出 fd=18
[INFO | 2017-12-23 16:53:56,616] 客服端正常退出 fd=19
[INFO | 2017-12-23 16:53:56,619] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 16:54:47,690] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:54:49,279] 客服端正常退出 fd=18
[INFO | 2017-12-23 16:57:10,567] 客服端正常退出 fd=17
[INFO | 2017-12-23 16:57:10,568] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 16:57:46,687] 客服端正常退出 fd=18
[INFO | 2017-12-23 16:57:46,691] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 16:58:32,262] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:58:57,049] 客服端正常退出 fd=17
[INFO | 2017-12-23 16:58:57,050] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 16:59:42,457] kill all the clild now
[INFO | 2017-12-23 17:00:44,773] child close 0
[INFO | 2017-12-23 17:00:45,217] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 17:00:45,557] 发送失败
[INFO | 2017-12-23 17:01:06,955] kill all the clild now
[INFO | 2017-12-23 17:01:26,249] child close 0
[INFO | 2017-12-23 17:19:30,403] localhost 9000not vote for localhost 9000
[INFO | 2017-12-23 17:19:30,821] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 17:19:30,821] become a Leader
[INFO | 2017-12-23 17:19:45,616] 发送失败
[INFO | 2017-12-23 17:19:45,618] 客服端正常退出 fd=17
[INFO | 2017-12-23 17:19:45,622] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 17:19:45,636] 客服端正常退出 fd=16
[INFO | 2017-12-23 17:19:46,040] 发送失败
[INFO | 2017-12-23 17:19:46,043] 客服端正常退出 fd=16
