[INFO | 2017-12-08 20:04:41,889] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:42,348] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:42,804] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:43,259] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:43,713] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:44,173] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:44,629] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:45,085] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:45,535] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:45,992] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:46,446] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:46,901] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:47,356] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:47,813] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:48,269] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:48,721] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:49,178] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:49,633] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:50,089] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:50,540] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:50,997] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:51,452] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:51,909] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:52,366] 127.0.0.1 9000not vote for 127.0.0.1 9000
